;num_secao;num_votos
0;1;8937
1;2;9013
3;3;9193
5;4;9100
6;5;9010
8;6;9369
10;7;9492
11;8;9495
13;9;9152
14;10;9783
15;11;9939
16;12;9686
17;13;9704
18;14;9926
20;15;10131
21;16;10013
22;17;10366
23;18;10069
24;19;9675
25;20;9586
27;21;9279
29;22;9469
30;23;9575
31;24;9553
32;25;9713
33;26;9804
34;27;9892
35;28;9666
37;29;9444
38;30;9949
39;31;10371
40;32;9636
41;33;9767
42;34;9633
43;35;9124
45;36;8950
46;37;8965
47;38;8940
48;39;9339
49;40;9106
50;41;9262
51;42;8645
52;43;8947
53;44;9023
54;45;8738
55;46;9253
56;47;9318
57;48;9512
59;49;9257
61;50;9444
62;51;9508
63;52;9260
64;53;8929
66;54;9096
67;55;8914
68;56;9423
69;57;9100
70;58;9364
72;59;9288
73;60;9376
74;61;9356
75;62;9353
77;63;9677
79;64;9420
80;65;9328
81;66;9082
82;67;9233
83;68;9604
85;69;9596
86;70;9892
87;71;10036
88;72;9885
90;73;9278
91;74;9504
92;75;9470
94;76;9338
96;77;9687
97;78;8897
98;79;8135
99;80;7905
101;81;8441
102;82;8387
103;83;8329
104;84;8347
105;85;8581
106;86;8733
108;87;8780
109;88;8593
110;89;8360
111;90;8272
112;91;8545
113;92;7994
114;93;8407
115;94;7887
116;95;9156
117;96;8078
119;97;8180
120;98;8518
121;99;8202
122;100;7893
123;101;7843
124;102;7897
125;103;7092
126;104;7469
128;105;7007
129;106;6847
130;107;6507
132;108;5990
133;109;6811
134;110;6488
135;111;6301
137;112;6054
138;113;6514
139;114;5370
141;115;5370
143;116;5493
145;117;5803
146;118;5579
147;119;5205
148;120;4890
149;121;5231
150;122;4316
152;123;4580
153;124;4568
154;125;4754
156;126;4608
157;127;4944
158;128;4723
159;129;4690
160;130;4582
161;131;4452
164;132;4750
165;133;4282
166;134;4346
167;135;3640
168;136;4300
171;137;3811
172;138;3742
174;139;3885
177;140;3853
178;141;4103
180;142;4131
182;143;3864
183;144;4077
184;145;4315
185;146;4365
186;147;3921
187;148;4191
188;149;3825
190;150;3884
191;151;3934
193;152;3954
195;153;3742
197;154;3839
198;155;3622
200;156;3469
201;157;3353
203;158;3279
205;159;3725
206;160;3463
208;161;3709
211;162;4021
212;163;3534
215;164;4359
218;165;4083
219;166;3879
221;167;4176
222;168;4210
223;169;3806
224;170;3566
225;171;3597
227;172;3419
229;173;3388
230;174;3601
231;175;3215
232;176;3050
234;177;3029
236;178;2988
238;179;3243
240;180;3236
242;181;3322
243;182;3071
245;183;3312
247;184;3083
248;185;3649
249;186;3549
251;187;3016
252;188;3176
254;189;3211
256;190;2979
259;191;2992
261;192;3290
263;193;2979
265;194;2631
266;195;2717
268;196;2925
269;197;2891
271;198;3096
273;199;3556
275;200;2940
277;201;3073
279;202;3539
281;203;2835
283;204;3123
284;205;2456
286;206;2405
288;207;2610
291;208;2180
292;209;1943
295;210;2164
298;211;2773
301;212;2518
303;213;2522
304;214;2111
306;215;2516
308;216;2449
311;217;2258
313;218;1903
314;219;2341
316;220;2512
317;221;2207
320;222;1754
323;223;2022
325;224;2120
328;225;2081
331;226;1975
335;227;1752
338;228;2031
340;229;2078
343;230;1704
345;231;1355
347;232;1614
349;233;1521
352;234;1423
353;235;1678
356;236;1924
358;237;1554
360;238;1630
362;239;1579
365;240;1427
368;241;1448
370;242;1439
373;243;1576
375;244;1291
377;245;1667
379;246;1364
382;247;1746
384;248;1255
386;249;1582
388;250;1417
389;251;1572
391;252;1571
392;253;1256
395;254;1338
396;255;1028
399;256;1330
400;257;1164
401;258;1377
403;259;1584
405;260;1708
407;261;1672
409;262;1182
412;263;1263
415;264;1079
419;265;872
421;266;958
423;267;1118
425;268;929
426;269;941
428;270;1102
431;271;1175
432;272;1032
434;273;1134
436;274;1198
437;275;1023
440;276;1166
442;277;1049
443;278;952
444;279;980
446;280;1138
447;281;603
450;282;1201
451;283;890
452;284;1146
454;285;933
455;286;1020
456;287;1000
458;288;809
461;289;853
463;290;961
465;291;820
467;292;860
469;293;719
472;294;784
473;295;1109
474;296;1172
476;297;1029
478;298;1075
480;299;1023
483;300;1436
485;301;1140
486;302;1233
487;303;1235
488;304;1164
489;305;1326
491;306;1473
493;307;1274
495;308;1440
498;309;1211
499;310;848
500;311;1320
502;312;900
504;313;1202
505;314;936
507;315;1140
508;316;855
510;317;1265
512;318;952
513;319;1233
515;320;872
518;321;1148
520;322;936
522;323;1085
524;324;1032
525;325;900
528;326;987
530;327;937
532;328;1040
534;329;1104
536;330;942
537;331;962
540;332;1098
541;333;719
542;334;820
544;335;716
546;336;972
548;337;1064
550;338;1180
551;339;1063
552;340;1151
554;341;1247
556;342;1163
557;343;1183
559;344;1101
561;345;992
562;346;1037
564;347;999
566;348;848
568;349;1064
570;350;878
571;351;870
572;352;900
574;353;1094
576;354;776
578;355;752
581;356;775
583;357;762
585;358;802
587;359;1073
589;360;856
592;361;827
593;362;833
595;363;892
596;364;586
598;365;599
599;366;745
602;367;804
604;368;707
606;369;661
608;370;584
609;371;789
612;372;617
614;373;450
617;374;284
618;375;130
619;376;149
621;377;275
623;378;176
625;379;257
626;380;300
629;381;679
630;382;632
632;383;482
634;384;359
636;385;685
639;386;500
642;387;565
644;388;811
645;389;782
646;390;1101
648;391;955
649;392;797
652;393;743
654;394;759
656;395;1043
659;396;726
661;397;745
663;398;859
665;399;567
668;400;704
670;401;451
671;402;317
674;403;359
676;404;246
678;405;458
680;406;350
682;407;288
685;408;338
688;409;204
690;410;316
693;411;151
695;412;670
697;413;415
698;414;419
700;415;423
701;416;496
703;417;474
704;418;638
707;419;519
708;420;314
710;421;262
712;422;171
713;423;199
715;424;36
716;427;439
718;428;172
719;429;208
721;432;157
722;433;203
723;434;335
724;435;193
725;436;377
727;437;201
728;438;218
729;439;176
730;440;213
731;443;425
734;444;377
736;445;191
737;447;217
738;448;228
739;450;223
740;451;332
742;452;156
743;453;235
744;454;165
746;455;154
747;456;190
748;457;199
749;458;261
751;459;363
753;460;290
755;461;259
757;462;257
758;463;276
760;464;291
762;465;521
765;466;420
768;467;285
769;468;502
771;469;690
774;470;567
777;471;619
779;472;866
781;473;744
784;474;751
787;475;921
788;476;749
791;477;884
792;478;792
795;479;977
797;480;751
799;481;803
801;482;610
804;483;813
806;484;636
808;485;763
811;486;853
813;487;850
815;488;820
817;489;838
818;490;710
820;491;891
823;492;670
825;493;807
826;494;648
828;495;673
830;496;657
833;497;258
834;498;337
836;499;624
839;500;221
840;501;575
843;502;377
844;503;583
847;504;425
849;505;500
852;506;562
855;507;718
857;508;580
859;509;605
861;510;920
863;511;788
865;512;531
867;513;202
870;514;194
872;515;83
873;517;239
874;518;176
875;520;222
876;521;238
877;522;140
878;523;151
879;524;107
880;525;370
883;526;157
885;527;144
886;528;113
887;529;111
888;530;114
889;531;110
891;542;231
892;551;247
893;553;143
895;554;155
897;555;145
898;556;211
899;560;132
901;563;189
903;564;239
904;565;161
905;568;450
908;573;198
910;574;200
911;575;170
912;577;161
913;581;132
915;584;225
916;588;173
917;590;105
918;591;145
919;593;154
920;595;248
921;597;338
924;598;253
925;606;169
926;607;172
927;608;427
929;615;219
931;617;222
932;618;169
933;619;203
934;620;248
935;624;142
937;625;250
939;626;403
941;627;451
942;632;222
943;634;205
945;636;431
948;637;360
951;638;239
952;639;113
953;640;178
954;641;163
956;642;178
957;643;362
959;644;194
960;645;215
961;646;172
963;648;171
965;650;239
966;653;235
967;654;257
968;655;131
970;656;257
971;657;98
972;658;264
973;659;234
974;660;241
975;661;218
976;662;248
977;663;245
978;664;227
979;665;263
980;666;236
981;667;221
982;668;229
983;669;239
984;670;237
985;671;245
986;672;254
987;673;227
988;674;248
989;675;218
990;676;190
991;677;193
992;678;243
993;679;249
994;680;191
995;681;257
996;682;245
997;683;234
998;684;220
999;685;236
1001;686;264
1002;687;239
1003;689;233
1004;690;243
1005;691;235
1006;692;247
1007;693;463
1009;694;259
1010;695;240
1011;699;238
1012;716;221
1013;727;154
1014;730;141
1016;734;217
1017;743;184
1019;756;243
1020;757;121
1022;761;116
1024;768;388
1028;784;157
1030;785;129
1031;787;258
1032;795;325
1034;804;135
1036;809;213
1037;816;137
1039;827;204
1041;828;243
1042;829;136
1043;837;154
1045;843;256
1046;845;131
1047;846;153
1048;847;238
1049;853;193
1050;856;196
1051;859;141
1053;871;253
1054;872;203
1056;873;238
1057;875;126
1058;883;173
1059;884;412
1062;885;191
1063;886;193
1064;887;199
1065;888;231
1066;889;228
1068;890;151
1069;891;210
1070;892;266
1072;893;206
1073;894;244
1074;895;188
1075;896;275
1076;897;221
1078;898;238
1079;899;198
1080;900;164
1081;901;174
1082;902;177
1083;903;231
1084;904;233
1085;905;165
1086;906;159
1087;907;208
1088;908;389
1090;909;204
1092;910;245
1093;911;168
1094;912;249
1096;913;207
1097;914;207
1098;915;235
1099;916;145
1101;917;213
1102;918;239
1103;919;251
1104;920;254
1105;921;186
1106;922;195
1107;923;223
1108;924;238
1109;925;244
1110;926;183
1111;927;374
1114;928;240
1115;929;190
1116;930;242
1117;931;180
1119;932;204
1121;933;348
1123;934;217
1125;935;251
1127;936;129
1128;937;218
1129;938;236
1130;939;237
1131;940;226
1132;941;248
1134;942;247
1135;943;161
1137;944;255
1138;945;254
1139;946;381
1141;947;243
1142;948;128
1143;949;306
1145;950;311
1148;951;311
1150;952;300
1152;953;323
1154;954;290
1156;955;265
1159;956;340
1161;957;342
1162;958;274
1164;959;309
1166;960;330
1168;961;271
1169;962;170
1170;963;361
1172;964;327
1174;965;316
1176;966;360
1178;967;237
1179;968;292
1181;969;244
1183;970;269
1185;971;302
1186;972;346
1188;973;336
1190;974;343
1192;975;337
1194;976;359
1196;977;310
1198;978;367
1200;979;333
1202;980;315
1204;981;311
1206;982;344
1208;983;304
1210;984;280
1212;985;326
1214;986;301
1216;987;108
1217;988;325
1218;989;281
1220;990;186
1221;991;320
1223;992;352
1225;993;138
1226;994;162
1227;995;163
1229;996;149
1231;997;152
1233;998;169
1235;999;168
1236;1000;108
1238;1001;173
1240;1002;132
1242;1003;165
1244;1004;140
1245;1005;101
1246;1006;161
1248;1007;158
1251;1008;167
1253;1009;144
1255;1010;154
1257;1011;138
1258;1012;138
1260;1013;148
1261;1014;104
1262;1015;144
1263;1016;136
1265;1017;149
1267;1018;144
1269;1019;144
1272;1020;145
1274;1021;154
1275;1022;132
1277;1024;166
1278;1025;162
1280;1026;169
1282;1027;167
1284;1028;117
1285;1029;177
